Nudata,BioCatch,Neuro-id,Accertify,BehavioSec,Darwinium,Sardine,ThreatMark,Transmit Security,Iovation,pingOne
,KeyboardEvent.target,MouseEvent.pageY,,MouseEvent.relatedTarget,TouchEvent.pageY,,MouseEvent.movementY,MouseEvent.buttons,PointerEvent.button,MouseEvent.toElement
,KeyboardEvent.timeStamp,MouseEvent.screenX,,MouseEvent.sourceCapabilities,TouchEvent.touches,,MouseEvent.pageX,MouseEvent.ctrlKey,PointerEvent.changedTouches,MouseEvent.type
,KeyboardEvent.type,MouseEvent.screenY,,MouseEvent.srcElement,TouchList.length,,MouseEvent.pageY,MouseEvent.detail,PointerEvent.code,PointerEvent.button
,MouseEvent.button,MouseEvent.target,,MouseEvent.target,,,MouseEvent.screenX,MouseEvent.offsetX,PointerEvent.keyCode,PointerEvent.offsetX
,MouseEvent.clientX,PointerEvent.clientX,,MouseEvent.toElement,,,MouseEvent.screenY,MouseEvent.offsetY,PointerEvent.pointerType,PointerEvent.offsetY
,MouseEvent.clientY,PointerEvent.clientY,,PointerEvent.button,,,MouseEvent.target,MouseEvent.shiftKey,PointerEvent.screenX,PointerEvent.pageX
,MouseEvent.deltaX,PointerEvent.get target,,PointerEvent.clientX,,,MouseEvent.type,MouseEvent.sourceCapabilities,PointerEvent.screenY,PointerEvent.pageY
,MouseEvent.deltaY,PointerEvent.pageX,,PointerEvent.clientY,,,MouseEvent.which,MouseEvent.target,PointerEvent.type,PointerEvent.screenX
,MouseEvent.deltaZ,PointerEvent.pageY,,PointerEvent.composed,,,PointerEvent.buttons,MouseEvent.x,Touch.identifier,PointerEvent.screenY
,MouseEvent.detail,PointerEvent.screenX,,PointerEvent.composedPath,,,PointerEvent.clientX,MouseEvent.y,TouchEvent.button,PointerEvent.srcElement
,MouseEvent.isTrusted,PointerEvent.screenY,,PointerEvent.getCoalescedEvents,,,PointerEvent.clientY,PointerEvent.detail,TouchEvent.changedTouches,PointerEvent.target
,MouseEvent.pageX,PointerEvent.target,,PointerEvent.pointerType,,,PointerEvent.getCoalescedEvents,PointerEvent.offsetX,TouchEvent.code,PointerEvent.timeStamp
,MouseEvent.pageY,Touch.clientX,,PointerEvent.srcElement,,,PointerEvent.height,PointerEvent.offsetY,TouchEvent.isTrusted,PointerEvent.type
,MouseEvent.screenX,Touch.clientY,,PointerEvent.target,,,PointerEvent.isTrusted,PointerEvent.sourceCapabilities,TouchEvent.keyCode,TextEvent.timeStamp
,MouseEvent.screenY,Touch.force,,PointerEvent.timeStamp,,,PointerEvent.movementX,PointerEvent.target,TouchEvent.pointerType,TextEvent.type
,MouseEvent.target,Touch.identifier,,WheelEvent.button,,,PointerEvent.movementY,PointerEvent.x,TouchEvent.screenX,Touch.clientX
,MouseEvent.timeStamp,Touch.pageX,,WheelEvent.deltaY,,,PointerEvent.pageX,PointerEvent.y,TouchEvent.type,Touch.clientY
,MouseEvent.type,Touch.pageY,,WheelEvent.pageX,,,PointerEvent.pageY,,TouchList.item,Touch.force
,MouseEvent.wheelDelta,Touch.radiusX,,WheelEvent.pageY,,,PointerEvent.pointerType,,WheelEvent.button,Touch.identifier
,MouseEvent.which,Touch.radiusY,,,,,PointerEvent.pressure,,WheelEvent.changedTouches,Touch.pageX
,PointerEvent.button,Touch.rotationAngle,,,,,PointerEvent.screenX,,WheelEvent.code,Touch.pageY
,PointerEvent.clientX,Touch.screenX,,,,,PointerEvent.screenY,,WheelEvent.isTrusted,Touch.radiusX
,PointerEvent.clientY,Touch.screenY,,,,,PointerEvent.target,,WheelEvent.keyCode,Touch.radiusY
,PointerEvent.deltaX,TouchEvent.get target,,,,,PointerEvent.tiltX,,WheelEvent.pointerType,Touch.rotationAngle
,PointerEvent.deltaY,TouchEvent.target,,,,,PointerEvent.tiltY,,WheelEvent.type,Touch.screenX
,PointerEvent.deltaZ,TouchEvent.touches,,,,,PointerEvent.timeStamp,,,Touch.screenY
,PointerEvent.detail,WheelEvent.deltaMode,,,,,PointerEvent.twist,,,TouchEvent.changedTouches
,PointerEvent.isTrusted,WheelEvent.deltaX,,,,,PointerEvent.type,,,TouchEvent.timeStamp
,PointerEvent.pageX,WheelEvent.deltaY,,,,,PointerEvent.which,,,TouchEvent.type
,PointerEvent.pageY,WheelEvent.deltaZ,,,,,PointerEvent.width,,,TouchList.item
,PointerEvent.pointerId,,,,,,WheelEvent.clientX,,,TouchList.length
,PointerEvent.screenX,,,,,,WheelEvent.clientY,,,WheelEvent.button
,PointerEvent.screenY,,,,,,WheelEvent.deltaMode,,,WheelEvent.offsetX
,PointerEvent.target,,,,,,WheelEvent.deltaX,,,WheelEvent.offsetY
,PointerEvent.timeStamp,,,,,,WheelEvent.deltaY,,,WheelEvent.pageX
,PointerEvent.type,,,,,,WheelEvent.deltaZ,,,WheelEvent.pageY
,PointerEvent.wheelDelta,,,,,,WheelEvent.isTrusted,,,WheelEvent.screenX
,PointerEvent.which,,,,,,WheelEvent.movementX,,,WheelEvent.screenY
,WheelEvent.button,,,,,,WheelEvent.movementY,,,WheelEvent.timeStamp
,WheelEvent.clientX,,,,,,WheelEvent.pageX,,,WheelEvent.type
,WheelEvent.clientY,,,,,,WheelEvent.pageY,,,
,WheelEvent.deltaY,,,,,,WheelEvent.screenX,,,
,WheelEvent.detail,,,,,,WheelEvent.screenY,,,
,WheelEvent.isTrusted,,,,,,WheelEvent.target,,,
,WheelEvent.pageX,,,,,,WheelEvent.type,,,
,WheelEvent.pageY,,,,,,WheelEvent.which,,,
,WheelEvent.screenX,,,,,,,,,
,WheelEvent.screenY,,,,,,,,,
,WheelEvent.target,,,,,,,,,
,WheelEvent.timeStamp,,,,,,,,,
,WheelEvent.type,,,,,,,,,
,WheelEvent.which,,,,,,,,,
,Touch.screenX,,,,,,,,,
,Touch.screenY,,,,,,,,,
,Touch.radiusX,,,,,,,,,
,Touch.radiusY,,,,,,,,,
,Touch.identifier,,,,,,,,,
,Touch.pageX,,,,,,,,,
,Touch.pageY,,,,,,,,,
,Touch.clientX,,,,,,,,,
,Touch.clientY,,,,,,,,,
,Touch.force,,,,,,,,,
,TouchEvent.changedTouches,,,,,,,,,
,TouchEvent.isTrusted,,,,,,,,,
,TouchEvent.target,,,,,,,,,
,TouchEvent.timeStamp,,,,,,,,,
,TouchEvent.type,,,,,,,,,
,TouchList.length,,,,,,,,,
